date	tau	Tb	pwv	lwp	iwp	o3
2021-04-07_07.00.00	8.0812e-02	2.5142e+01	1.8324e+00		6.1680e-08	2.4886e+02
2021-04-07_08.00.00	7.5391e-02	2.3801e+01	1.7048e+00		8.1520e-05	2.4705e+02
2021-04-07_09.00.00	7.2894e-02	2.3200e+01	1.6374e+00		1.9922e-05	2.4666e+02
2021-04-07_10.00.00	7.2556e-02	2.3117e+01	1.6260e+00		2.0400e-05	2.4692e+02
2021-04-07_11.00.00	7.1430e-02	2.2788e+01	1.6123e+00			2.4705e+02
2021-04-07_12.00.00	7.0827e-02	2.2642e+01	1.5954e+00		7.2540e-07	2.4622e+02
2021-04-07_13.00.00	7.4339e-02	2.3484e+01	1.6948e+00		1.9678e-05	2.4510e+02
2021-04-07_14.00.00	7.7547e-02	2.4278e+01	1.7806e+00		3.5660e-06	2.4571e+02
2021-04-07_15.00.00	8.4186e-02	2.5994e+01	1.9231e+00		2.2100e-04	2.4520e+02
2021-04-07_16.00.00	8.6337e-02	2.6579e+01	1.9619e+00		4.1040e-05	2.4474e+02
2021-04-07_17.00.00	8.8729e-02	2.7140e+01	2.0301e+00		1.4524e-04	2.4428e+02
2021-04-07_18.00.00	8.4530e-02	2.6079e+01	1.9380e+00		9.4360e-07	2.4445e+02
2021-04-07_19.00.00	7.8023e-02	2.4464e+01	1.7825e+00		1.8874e-07	2.4387e+02
2021-04-07_20.00.00	7.7084e-02	2.4215e+01	1.7649e+00			2.4383e+02
2021-04-07_21.00.00	7.2780e-02	2.3115e+01	1.6660e+00		3.0460e-05	2.4386e+02
2021-04-07_22.00.00	7.9576e-02	2.4775e+01	1.8386e+00			2.4360e+02
2021-04-07_23.00.00	8.8342e-02	2.6901e+01	2.0659e+00		3.4080e-06	2.4286e+02
2021-04-08_00.00.00	9.8218e-02	2.9307e+01	2.3182e+00		1.2260e-04	2.4294e+02
2021-04-08_01.00.00	9.9715e-02	2.9706e+01	2.3625e+00		1.0198e-05	2.4363e+02
2021-04-08_02.00.00	1.0575e-01	3.1118e+01	2.5273e+00		2.9079e-04	2.4491e+02
2021-04-08_03.00.00	1.0474e-01	3.0835e+01	2.5127e+00		4.9229e-03	2.4586e+02
2021-04-08_04.00.00	9.8046e-02	2.9190e+01	2.3481e+00		8.6784e-03	2.4558e+02
2021-04-08_05.00.00	9.0119e-02	2.7271e+01	2.1430e+00		5.0099e-03	2.4593e+02
2021-04-08_06.00.00	7.7311e-02	2.4148e+01	1.8108e+00		5.4125e-03	2.4647e+02
2021-04-08_07.00.00	6.6788e-02	2.1527e+01	1.5405e+00		1.8262e-04	2.4687e+02
2021-04-08_08.00.00	5.7478e-02	1.9168e+01	1.3014e+00		2.8178e-04	2.4809e+02
2021-04-08_09.00.00	4.9553e-02	1.7139e+01	1.0975e+00		1.2739e-04	2.4802e+02
2021-04-08_10.00.00	4.4587e-02	1.5837e+01	9.7184e-01		1.4131e-04	2.4710e+02
2021-04-08_11.00.00	4.1580e-02	1.5052e+01	8.9463e-01		1.3696e-05	2.4650e+02
2021-04-08_12.00.00	4.2981e-02	1.5401e+01	9.3811e-01		1.0387e-03	2.4606e+02
2021-04-08_13.00.00	4.7132e-02	1.6456e+01	1.0492e+00		1.3713e-02	2.4600e+02
2021-04-08_14.00.00	5.2701e-02	1.7898e+01	1.1908e+00		1.7777e-02	2.4670e+02
2021-04-08_15.00.00	5.3548e-02	1.8158e+01	1.2160e+00		4.3275e-03	2.4822e+02
2021-04-08_16.00.00	5.6706e-02	1.9006e+01	1.2896e+00		6.9540e-04	2.4811e+02
2021-04-08_17.00.00	6.1417e-02	2.0241e+01	1.4025e+00		1.9468e-04	2.4801e+02
2021-04-08_18.00.00	6.1365e-02	2.0303e+01	1.3780e+00		2.6025e-05	2.4909e+02
2021-04-08_19.00.00	6.2658e-02	2.0604e+01	1.4158e+00		2.5775e-04	2.4853e+02
2021-04-08_20.00.00	6.5361e-02	2.1294e+01	1.4763e+00		1.2023e-04	2.4854e+02
2021-04-08_21.00.00	6.9416e-02	2.2359e+01	1.5572e+00		2.8783e-05	2.4901e+02
2021-04-08_22.00.00	7.2619e-02	2.3128e+01	1.6408e+00		2.9843e-03	2.4980e+02
2021-04-08_23.00.00	7.4916e-02	2.3651e+01	1.6997e+00		2.9795e-02	2.5028e+02
2021-04-09_00.00.00	6.8755e-02	2.2134e+01	1.5583e+00		2.3256e-02	2.5061e+02
2021-04-09_01.00.00	6.7834e-02	2.1907e+01	1.5600e+00		2.0518e-03	2.5147e+02
2021-04-09_02.00.00	7.1086e-02	2.2737e+01	1.6437e+00		1.9551e-03	2.5109e+02
2021-04-09_03.00.00	6.8941e-02	2.2182e+01	1.5826e+00		1.7165e-02	2.5064e+02
2021-04-09_04.00.00	6.4103e-02	2.0992e+01	1.4579e+00		4.7861e-03	2.5017e+02
2021-04-09_05.00.00	6.5928e-02	2.1351e+01	1.5304e+00		1.4253e-03	2.4979e+02
2021-04-09_06.00.00	6.6925e-02	2.1478e+01	1.5872e+00		1.5093e-03	2.5017e+02
2021-04-09_09.00.00	5.9487e-02	1.9652e+01	1.3802e+00		1.0048e-03	2.5046e+02
2021-04-09_12.00.00	4.7983e-02	1.6733e+01	1.0700e+00		6.3460e-03	2.5414e+02
2021-04-09_15.00.00	5.0736e-02	1.7455e+01	1.1423e+00		2.1696e-03	2.5286e+02
2021-04-09_18.00.00	6.6900e-02	2.1407e+01	1.5989e+00		8.2620e-03	2.5289e+02
2021-04-09_21.00.00	8.4707e-02	2.5605e+01	2.1043e+00		1.0654e-03	2.4948e+02
2021-04-10_00.00.00	1.1644e-01	3.3114e+01	2.9471e+00		4.3733e-03	2.5003e+02
2021-04-10_03.00.00	1.0372e-01	3.0289e+01	2.5884e+00		8.1415e-05	2.5444e+02
2021-04-10_06.00.00	1.1115e-01	3.2025e+01	2.7574e+00		9.5940e-06	2.5446e+02
2021-04-10_09.00.00	1.0007e-01	2.9519e+01	2.4340e+00			2.5377e+02
2021-04-10_12.00.00	8.9030e-02	2.6914e+01	2.1460e+00			2.5513e+02
2021-04-10_15.00.00	8.6764e-02	2.6336e+01	2.0965e+00		3.1720e-07	2.5519e+02
2021-04-10_18.00.00	8.6323e-02	2.6208e+01	2.0887e+00		2.2008e-03	2.5346e+02
2021-04-10_21.00.00	7.7542e-02	2.4175e+01	1.8307e+00		9.1920e-06	2.5261e+02
2021-04-11_00.00.00	8.6465e-02	2.6240e+01	2.1014e+00		9.8850e-04	2.5321e+02
2021-04-11_03.00.00	9.2925e-02	2.7827e+01	2.2560e+00			2.5223e+02
2021-04-11_06.00.00	1.0907e-01	3.1413e+01	2.7131e+00		2.8622e-04	2.5432e+02
2021-04-11_09.00.00	1.1742e-01	3.3321e+01	2.9339e+00		1.6324e-03	2.5367e+02
2021-04-11_12.00.00	1.1637e-01	3.3091e+01	2.9131e+00		6.2896e-03	2.4990e+02
2021-04-11_15.00.00	1.2011e-01	3.3928e+01	3.0357e+00		6.5377e-03	2.5008e+02
2021-04-11_18.00.00	1.1945e-01	3.3765e+01	3.0189e+00		1.5986e-02	2.4807e+02
