date	tau	Tb	pwv	lwp	iwp	o3
2021-04-10_02.00.00	4.1117e-01	9.2828e+01	8.0258e+00	1.8853e-02	1.9991e-01	2.8315e+02
2021-04-10_03.00.00	3.2810e-01	7.7883e+01	7.0790e+00	1.9369e-03	9.0090e-03	2.8369e+02
2021-04-10_04.00.00	2.3622e-01	6.0254e+01	5.0175e+00	4.8170e-04	8.4073e-04	2.8306e+02
2021-04-10_05.00.00	1.7712e-01	4.7754e+01	3.7838e+00		7.5533e-04	2.8242e+02
2021-04-10_06.00.00	1.5553e-01	4.2912e+01	3.3148e+00		3.4049e-04	2.8308e+02
2021-04-10_07.00.00	1.4321e-01	4.0156e+01	3.0220e+00		3.1280e-05	2.8256e+02
2021-04-10_08.00.00	1.3375e-01	3.8016e+01	2.7923e+00		1.5962e-04	2.8118e+02
2021-04-10_09.00.00	1.2193e-01	3.5254e+01	2.5386e+00		1.7572e-05	2.8058e+02
2021-04-10_10.00.00	1.0531e-01	3.1298e+01	2.1873e+00			2.7847e+02
2021-04-10_11.00.00	9.0971e-02	2.7843e+01	1.8716e+00			2.7895e+02
2021-04-10_12.00.00	8.0328e-02	2.5250e+01	1.6320e+00			2.7910e+02
2021-04-10_13.00.00	8.2895e-02	2.5881e+01	1.6904e+00			2.7955e+02
2021-04-10_14.00.00	8.8937e-02	2.7366e+01	1.8242e+00			2.7859e+02
2021-04-10_15.00.00	9.5608e-02	2.8989e+01	1.9673e+00			2.7892e+02
2021-04-10_16.00.00	1.0753e-01	3.1876e+01	2.2212e+00			2.7876e+02
2021-04-10_17.00.00	1.2315e-01	3.5584e+01	2.5575e+00			2.7688e+02
2021-04-10_18.00.00	1.6669e-01	4.5508e+01	3.5158e+00			2.7695e+02
2021-04-10_19.00.00	2.6337e-01	6.5929e+01	4.5890e+00	2.0544e-02	8.9973e-03	2.7651e+02
2021-04-10_20.00.00	4.3217e-01	9.7050e+01	5.8962e+00	6.6810e-02	1.5665e-01	2.7464e+02
2021-04-10_21.00.00	4.0308e-01	9.1800e+01	7.1632e+00	2.7907e-02	3.3743e-01	2.7348e+02
2021-04-10_22.00.00	3.7206e-01	8.6046e+01	7.6454e+00	5.5537e-03	4.3453e-01	2.7283e+02
2021-04-10_23.00.00	3.9042e-01	8.9201e+01	7.3333e+00	2.2774e-02	4.2390e-01	2.7122e+02
2021-04-11_00.00.00	2.9468e-01	7.1361e+01	6.4823e+00	2.0855e-04	3.1339e-01	2.7380e+02
