date	tau	Tb	pwv	lwp	iwp	o3
2021-04-19_15.00.00	3.5872e-01	8.4083e+01	8.0266e+00		1.1152e-04	2.7136e+02
2021-04-19_18.00.00	3.7730e-01	8.7617e+01	8.4581e+00			2.7038e+02
2021-04-19_21.00.00	4.0174e-01	9.1888e+01	9.1156e+00		4.6184e-05	2.6966e+02
2021-04-20_00.00.00	4.0026e-01	9.1867e+01	9.0250e+00	1.3180e-05	9.9160e-06	2.6934e+02
2021-04-20_03.00.00	4.1018e-01	9.3801e+01	9.1167e+00			2.6810e+02
2021-04-20_06.00.00	4.4889e-01	1.0024e+02	9.9408e+00		3.4220e-05	2.6773e+02
2021-04-20_09.00.00	4.5643e-01	1.0149e+02	1.0060e+01		1.8377e-05	2.6839e+02
2021-04-20_12.00.00	4.6164e-01	1.0224e+02	1.0166e+01		9.3057e-02	2.6888e+02
2021-04-20_15.00.00	4.6504e-01	1.0284e+02	1.0285e+01		3.6877e-03	2.6988e+02
2021-04-20_18.00.00	4.5634e-01	1.0163e+02	1.0077e+01		1.5726e-04	2.7051e+02
2021-04-20_21.00.00	4.7674e-01	1.0503e+02	1.0497e+01		2.4563e-04	2.6895e+02
2021-04-21_00.00.00	4.7573e-01	1.0494e+02	1.0452e+01		5.5169e-04	2.6855e+02
2021-04-21_03.00.00	4.8383e-01	1.0614e+02	1.0648e+01		2.0228e-03	2.6938e+02
2021-04-21_06.00.00	5.0866e-01	1.1018e+02	1.0776e+01	7.6628e-03	4.4590e-04	2.7154e+02
