date	tau	Tb	pwv	lwp	iwp	o3	RHs	Ts
2021-06-02_06.00.00	0.09732403	29.45719	2.1189583271008465		1.2899000807730278e-05	276.04812416257255	20.291720580580634	5.282611207887385
2021-06-02_07.00.00	0.0964224	29.18561	2.109796571633709		6.922290364076944e-05	277.6237531636147	15.350490046194974	5.65051545380129
2021-06-02_08.00.00	0.0995906	29.92515	2.188902085140754		6.725999940168127e-05	277.508597588209	12.944745143092142	5.795000411433477
2021-06-02_09.00.00	0.09792032	29.52146	2.1462284979208426		4.4587010500493614e-05	278.8417076075629	11.318588357910834	5.7907244801048705
2021-06-02_10.00.00	0.09600188	29.05851	2.0967194184342		3.7904986986567746e-05	277.26674854845913	10.408561334859135	5.620543702024577
2021-06-02_11.00.00	0.09326794	28.38489	2.0335692703503154		8.302001376133066e-05	277.4212446032455	10.646983481071874	5.234776246866545
2021-06-02_12.00.00	0.09179993	28.01839	2.0050139109103418		0.00026457698866186015	277.8563346732172	11.380838662534504	4.887558927500038
2021-06-02_13.00.00	0.09078929	27.76827	1.9860427199569208		2.8497998623866933e-05	276.8940747357451	11.632237352793986	4.762208786259919
2021-06-02_14.00.00	0.09204572	28.06678	2.0225751637897504		6.662000777814341e-05	275.63060145898464	11.14596890212687	4.954134788040278
2021-06-02_15.00.00	0.09155545	27.96397	2.0100433781075178		6.288000717982469e-06	274.3669793062379	10.679961772754536	5.279262437118007
2021-06-02_16.00.00	0.0916662	27.9711	2.0206671253776887		2.3899999999999998e-05	273.97115527765374	10.934243504076303	5.160227903854775
2021-06-02_17.00.00	0.092501	28.15222	2.049094743770006		1.355000149579681e-05	275.42273336310853	11.176615120153086	5.099754685479581
2021-06-02_18.00.00	0.09376028	28.45041	2.0828470996499835		6.563999162353786e-06	277.26931665922285	11.203326056063757	5.102698979949253
2021-06-02_19.00.00	0.09560256	28.90015	2.130820294971131			280.4495682596397	11.174420300915818	5.110143611148715
2021-06-02_20.00.00	0.102087	30.45127	2.3003554013222844		1.529399886319442e-05	280.409967247283	11.048323095868245	5.276554784422956
2021-06-02_21.00.00	0.1059221	31.36183	2.4057854429054357		0.0005262000777814342	279.9510942384993	11.88894466174823	5.273710387018866
2021-06-02_22.00.00	0.108399	31.93648	2.4756346665868905		0.00246	278.7296784278696	13.670800928367285	5.22102152199767
2021-06-02_23.00.00	0.1126754	32.91934	2.5876644628593652		0.000590799952134502	278.6305270209915	15.65703443485563	5.183898486617693
2021-06-03_00.00.00	0.1153551	33.6229	2.6264190624345587		1.1310000897478086e-05	278.65985559029326	21.566646146567845	4.899187255020308
2021-06-03_01.00.00	0.1163115	33.92632	2.6218823107069134		2.2459999401681274e-05	278.6712446032455	26.531145920697043	4.850389277730812
