date	tau	Tb	pwv	lwp	iwp	o3
2021-04-09_07.00.00	2.8909e-01	7.3601e+01	5.4727e+00			2.9457e+02
2021-04-09_08.00.00	2.8980e-01	7.3845e+01	5.4484e+00			2.9375e+02
2021-04-09_09.00.00	3.0378e-01	7.6668e+01	5.7099e+00			2.9279e+02
2021-04-09_10.00.00	2.9422e-01	7.4654e+01	5.5383e+00			2.9112e+02
2021-04-09_11.00.00	2.8630e-01	7.2907e+01	5.4158e+00		1.1118e-05	2.9184e+02
2021-04-09_12.00.00	2.7107e-01	6.9652e+01	5.1494e+00		1.2196e-04	2.9244e+02
2021-04-09_13.00.00	2.6410e-01	6.8111e+01	5.0272e+00		2.5177e-04	2.9245e+02
2021-04-09_14.00.00	2.7239e-01	6.9791e+01	5.1923e+00		4.2944e-04	2.9342e+02
2021-04-09_15.00.00	2.8782e-01	7.2978e+01	5.4919e+00		3.7636e-03	2.9337e+02
2021-04-09_16.00.00	2.9333e-01	7.4183e+01	5.5830e+00		4.9800e-05	2.9462e+02
2021-04-09_17.00.00	2.9486e-01	7.4603e+01	5.5823e+00			2.9425e+02
2021-04-09_18.00.00	2.9528e-01	7.4718e+01	5.6008e+00		3.1378e-05	2.9385e+02
2021-04-09_19.00.00	2.9597e-01	7.4941e+01	5.6220e+00		3.9620e-04	2.9376e+02
2021-04-09_20.00.00	3.0525e-01	7.6851e+01	5.8317e+00		7.2960e-04	2.9262e+02
2021-04-09_21.00.00	3.1532e-01	7.8842e+01	6.0716e+00		4.9770e-03	2.8972e+02
2021-04-09_22.00.00	3.1543e-01	7.8827e+01	6.1190e+00		5.3706e-03	2.8762e+02
2021-04-09_23.00.00	3.2292e-01	8.0275e+01	6.2881e+00		1.1583e-02	2.8835e+02
2021-04-10_00.00.00	3.3142e-01	8.1902e+01	6.4725e+00		7.9681e-03	2.8827e+02
2021-04-10_01.00.00	3.3860e-01	8.3305e+01	6.6034e+00		1.3717e-02	2.8859e+02
2021-04-10_02.00.00	3.3454e-01	8.2428e+01	6.5550e+00		1.3452e-02	2.8769e+02
2021-04-10_03.00.00	3.2121e-01	7.9791e+01	6.2975e+00		8.4625e-03	2.8909e+02
2021-04-10_04.00.00	2.9931e-01	7.5349e+01	5.8827e+00		7.4782e-03	2.9159e+02
