date	tau	Tb	pwv	lwp	iwp	o3
2021-04-16_18.00.00	8.0519e-02	2.3307e+01	1.1223e+00		8.7230e-03	4.3797e+02
2021-04-16_21.00.00	8.0657e-02	2.3302e+01	1.1249e+00		1.4366e-02	4.3193e+02
2021-04-17_00.00.00	7.6485e-02	2.2349e+01	1.0556e+00		6.3137e-03	4.3926e+02
2021-04-17_03.00.00	7.6384e-02	2.2314e+01	1.0550e+00		3.0105e-03	4.4185e+02
2021-04-17_06.00.00	8.1873e-02	2.3552e+01	1.1576e+00		4.8246e-03	4.3359e+02
2021-04-17_09.00.00	8.5544e-02	2.4434e+01	1.2299e+00		3.9412e-03	4.2551e+02
2021-04-17_12.00.00	9.2509e-02	2.6072e+01	1.3673e+00		3.8471e-03	4.1781e+02
2021-04-17_15.00.00	9.7717e-02	2.7283e+01	1.4655e+00		4.2946e-03	4.0950e+02
2021-04-17_18.00.00	9.5071e-02	2.6784e+01	1.4145e+00		6.1343e-04	4.0373e+02
2021-04-17_21.00.00	9.2542e-02	2.6246e+01	1.3749e+00		6.2596e-04	4.0383e+02
2021-04-18_00.00.00	8.8529e-02	2.5335e+01	1.3111e+00		1.8032e-04	3.9504e+02
2021-04-18_03.00.00	8.0732e-02	2.3513e+01	1.1847e+00		3.6682e-03	3.8940e+02
2021-04-18_06.00.00	7.3301e-02	2.1784e+01	1.0561e+00		8.4930e-03	3.8914e+02
2021-04-18_09.00.00	6.9733e-02	2.0949e+01	9.9589e-01		7.0687e-03	3.9654e+02
2021-04-18_12.00.00	8.0886e-02	2.3498e+01	1.2041e+00		9.5362e-03	4.0387e+02
2021-04-18_15.00.00	1.0306e-01	2.8487e+01	1.5998e+00		1.0406e-02	4.1303e+02
2021-04-18_18.00.00	1.0694e-01	2.9359e+01	1.6679e+00		1.1105e-02	4.1741e+02
2021-04-18_21.00.00	1.0440e-01	2.8790e+01	1.6253e+00		3.6565e-03	4.3092e+02
2021-04-19_00.00.00	9.9568e-02	2.7727e+01	1.5393e+00		6.6456e-04	4.2138e+02
