date	tau	Tb	pwv	lwp	iwp	o3
2021-04-09_02.00.00	5.8576e-02	1.9405e+01	1.3499e+00		1.7066e-03	2.4751e+02
2021-04-09_03.00.00	6.6092e-02	2.1079e+01	1.5380e+00		9.4778e-02	2.4863e+02
2021-04-09_04.00.00	6.1315e-02	2.0000e+01	1.4214e+00		4.4624e-02	2.4989e+02
2021-04-09_05.00.00	5.9138e-02	1.9427e+01	1.3526e+00		7.1017e-02	2.4974e+02
2021-04-09_06.00.00	5.9820e-02	1.9539e+01	1.3605e+00		1.0595e-01	2.4924e+02
2021-04-09_07.00.00	6.3479e-02	2.0367e+01	1.4689e+00		1.1281e-01	2.5009e+02
2021-04-09_08.00.00	6.4403e-02	2.0546e+01	1.5106e+00		1.0349e-01	2.4983e+02
2021-04-09_09.00.00	7.5415e-02	2.3163e+01	1.8624e+00		3.0645e-02	2.5031e+02
2021-04-09_10.00.00	7.1894e-02	2.2329e+01	1.7799e+00		6.1788e-03	2.4929e+02
2021-04-09_11.00.00	7.4111e-02	2.2833e+01	1.8402e+00		1.3378e-02	2.5010e+02
2021-04-09_12.00.00	8.5375e-02	2.5406e+01	2.0825e+00		1.5505e-01	2.5113e+02
2021-04-09_13.00.00	9.4479e-02	2.7598e+01	2.3788e+00		6.4925e-02	2.5115e+02
2021-04-09_14.00.00	9.1055e-02	2.6909e+01	2.3027e+00		1.1976e-02	2.5098e+02
2021-04-09_15.00.00	8.5947e-02	2.5799e+01	2.1547e+00		1.4348e-03	2.5118e+02
2021-04-09_16.00.00	8.7198e-02	2.6178e+01	2.1766e+00		6.7800e-04	2.5083e+02
2021-04-09_17.00.00	9.1075e-02	2.7125e+01	2.2746e+00		2.4281e-03	2.5131e+02
2021-04-09_18.00.00	9.3705e-02	2.7726e+01	2.3437e+00		4.7063e-03	2.5118e+02
2021-04-09_19.00.00	9.3764e-02	2.7644e+01	2.3471e+00		2.0168e-02	2.5184e+02
2021-04-09_20.00.00	9.9196e-02	2.8806e+01	2.4371e+00		1.3625e-01	2.5262e+02
2021-04-09_21.00.00	1.0730e-01	3.0715e+01	2.6546e+00		1.2626e-01	2.5259e+02
2021-04-09_22.00.00	1.1099e-01	3.1651e+01	2.7773e+00		6.9050e-02	2.5276e+02
2021-04-09_23.00.00	1.1401e-01	3.2418e+01	2.8755e+00		2.4932e-02	2.5324e+02
2021-04-10_00.00.00	1.1839e-01	3.3448e+01	3.0117e+00		1.0964e-02	2.5225e+02
2021-04-10_01.00.00	1.1682e-01	3.3103e+01	2.9752e+00		1.3339e-02	2.5017e+02
2021-04-10_02.00.00	1.1271e-01	3.2181e+01	2.8674e+00		1.9291e-03	2.4988e+02
2021-04-10_03.00.00	1.0684e-01	3.0883e+01	2.6982e+00		1.1017e-04	2.5040e+02
2021-04-10_04.00.00	1.0031e-01	2.9398e+01	2.5133e+00		1.2551e-04	2.5069e+02
2021-04-10_05.00.00	9.9208e-02	2.9157e+01	2.4657e+00		2.5540e-04	2.5090e+02
2021-04-10_06.00.00	9.5637e-02	2.8368e+01	2.3583e+00		4.8641e-04	2.5195e+02
2021-04-10_07.00.00	9.4408e-02	2.8102e+01	2.3180e+00		7.8797e-04	2.5349e+02
2021-04-10_08.00.00	9.4078e-02	2.8037e+01	2.3030e+00		1.4622e-03	2.5433e+02
2021-04-10_09.00.00	8.7522e-02	2.6491e+01	2.1255e+00		7.1133e-03	2.5391e+02
2021-04-10_10.00.00	8.1128e-02	2.4951e+01	1.9554e+00		7.9956e-03	2.5371e+02
2021-04-10_11.00.00	7.7209e-02	2.3960e+01	1.8573e+00		1.1970e-02	2.5273e+02
2021-04-10_12.00.00	7.8472e-02	2.4219e+01	1.8918e+00		2.7287e-02	2.5244e+02
2021-04-10_13.00.00	7.9812e-02	2.4503e+01	1.9425e+00		2.0920e-02	2.5338e+02
2021-04-10_14.00.00	7.9951e-02	2.4537e+01	1.9506e+00		2.0825e-02	2.5315e+02
2021-04-10_15.00.00	7.9987e-02	2.4516e+01	1.9523e+00		3.4838e-02	2.5261e+02
2021-04-10_16.00.00	7.9738e-02	2.4460e+01	1.9571e+00		2.3441e-02	2.5277e+02
2021-04-10_17.00.00	8.2716e-02	2.5141e+01	2.0430e+00		2.3724e-02	2.5234e+02
2021-04-10_18.00.00	8.6221e-02	2.5934e+01	2.1273e+00		5.4271e-02	2.5179e+02
2021-04-10_19.00.00	8.8755e-02	2.6486e+01	2.1690e+00		1.1056e-01	2.5124e+02
2021-04-10_20.00.00	9.1620e-02	2.7143e+01	2.2556e+00		1.0568e-01	2.5036e+02
2021-04-10_21.00.00	9.6253e-02	2.8195e+01	2.3893e+00		1.0272e-01	2.5055e+02
2021-04-10_22.00.00	1.0015e-01	2.9082e+01	2.5065e+00		9.0346e-02	2.5097e+02
2021-04-10_23.00.00	9.8361e-02	2.8676e+01	2.4944e+00		4.1850e-02	2.5088e+02
2021-04-11_00.00.00	9.1929e-02	2.7228e+01	2.3300e+00		8.6519e-03	2.5174e+02
2021-04-11_03.00.00	8.9041e-02	2.6582e+01	2.2274e+00		2.2791e-03	2.5149e+02
2021-04-11_06.00.00	8.9665e-02	2.6662e+01	2.2446e+00		1.5066e-04	2.5014e+02
2021-04-11_09.00.00	7.6894e-02	2.3662e+01	1.8849e+00			2.4911e+02
2021-04-11_12.00.00	7.2724e-02	2.2774e+01	1.7471e+00		1.9866e-03	2.4801e+02
2021-04-11_15.00.00	7.3443e-02	2.3076e+01	1.7429e+00		3.8053e-03	2.4589e+02
2021-04-11_18.00.00	7.6546e-02	2.3884e+01	1.8177e+00		4.5377e-03	2.4606e+02
2021-04-11_21.00.00	7.4114e-02	2.3241e+01	1.7583e+00		8.9980e-03	2.4861e+02
2021-04-12_00.00.00	7.4678e-02	2.3392e+01	1.7728e+00		6.7080e-03	2.5020e+02
2021-04-12_03.00.00	7.3512e-02	2.3140e+01	1.7420e+00		1.5097e-03	2.4991e+02
2021-04-12_06.00.00	7.8078e-02	2.4242e+01	1.8521e+00		2.7354e-03	2.4865e+02
2021-04-12_09.00.00	7.9654e-02	2.4684e+01	1.8659e+00			2.5058e+02
2021-04-12_12.00.00	7.5838e-02	2.3753e+01	1.7715e+00			2.5092e+02
2021-04-12_15.00.00	7.1655e-02	2.2755e+01	1.6626e+00			2.5077e+02
