date	tau	Tb	pwv	lwp	iwp	o3	RHs	Ts
2021-04-28_12.00.00	0.03418516	13.16272	0.5504756633858856			260.13782194432036	39.11962443766786	-8.796725895968109
2021-04-28_13.00.00	0.03062216	12.23466	0.4696422054028181			262.10387821944323	29.2704345602403	-8.204473392710156
2021-04-28_14.00.00	0.03088327	12.29711	0.48064259430998885			263.0488313235075	20.77426937144409	-7.308463375665667
2021-04-28_15.00.00	0.0350261	13.38907	0.5816124689622162			263.4234405240435	18.48129018669513	-6.4626075056993955
2021-04-28_16.00.00	0.04094079	14.94165	0.7212765129984742			263.4172621706119	22.05852309331566	-5.8495133761825855
2021-04-28_17.00.00	0.0471393	16.5317	0.8695566458252311			262.2154607711776	23.91460355479813	-5.47008514978387
2021-04-28_18.00.00	0.04879438	16.94745	0.9118287611810811			261.66517790680365	23.33509004563104	-5.413629469461455
2021-04-28_19.00.00	0.05030555	17.31691	0.9531381817093966			261.70016376358495	22.146773766065287	-5.4509938511218365
2021-04-28_20.00.00	0.05292188	17.95697	1.0180913632692135			262.3468066100938	21.7237779938936	-5.5627336302224535
2021-04-28_21.00.00	0.05804377	19.22352	1.1366757411673196			263.19662795891026	24.14052031293484	-5.773294086300666
2021-04-28_22.00.00	0.06292758	20.44122	1.2409821401860772			262.9478561857972	29.752265876773354	-6.223722945591078
2021-04-28_23.00.00	0.06120715	20.03041	1.1914554102970651			263.1853506029477	38.654734182470314	-6.985091391248716
2021-04-29_00.00.00	0.05297022	18.00064	0.9986836988063541			262.0675896977817	44.85081273848435	-7.599958600088314
2021-04-29_01.00.00	0.04874048	16.93475	0.9027112812995483			260.22420723537294	41.74478285463471	-7.513649146487694
2021-04-29_02.00.00	0.04825033	16.80032	0.8935946988961019			258.9309587613518	37.95056274045497	-7.4700423348497225
2021-04-29_03.00.00	0.04228312	15.2793	0.7568522451910132			257.61273634062826	35.06774252951109	-7.475578021150852
2021-04-29_04.00.00	0.03623307	13.71714	0.6151368654082029			257.0134360577639	31.836068518269794	-7.3398721931509385
2021-04-29_05.00.00	0.03100059	12.34053	0.49281149968588267			256.1589251153789	25.60156516169727	-7.038438269187793
2021-04-29_06.00.00	0.0264668	11.1263	0.3853172585036049			254.25934196814055	18.673159607081068	-6.703569708630425
2021-04-29_07.00.00	0.02301536	10.18891	0.30192568881443144			252.68177757927646	12.891611290677396	-6.311471186839583
2021-04-29_08.00.00	0.02096725	9.620306	0.2523116343075957			251.5062900104213	8.49538246507629	-5.913168303392808
2021-04-29_09.00.00	0.01992563	9.322975	0.22861372543153738			251.74564537740062	5.715329792339451	-5.51093236853427
