date	tau	Tb	pwv	lwp	iwp	o3	RHs	Ts
2021-05-14_12.00.00	0.03947001	13.39796	0.3446417566637748		0.0129695007030245	278.53952657436355	99.81942358702773	-44.272409569330904
2021-05-14_13.00.00	0.04009117	13.55009	0.3560056241960092		0.015782678672929068	276.3233958612476	98.96839656982682	-43.30103725922265
2021-05-14_14.00.00	0.04077466	13.71885	0.3695961348610405		0.015539501002183863	276.96962929879413	98.67328579962383	-42.44990063618263
2021-05-14_15.00.00	0.04128415	13.84518	0.38021808717503813		0.01480207018278637	275.2981613815692	98.56725035996767	-41.848046340240444
2021-05-14_16.00.00	0.04185924	13.9867	0.39120232147665057		0.015816788823406227	274.25625279142474	98.50214193716516	-41.221456009637336
2021-05-14_17.00.00	0.04244557	14.13142	0.4023932748975379		0.017211000089747807	271.38264850379636	98.43928758940166	-40.620323354632234
2021-05-14_18.00.00	0.04296346	14.25801	0.4122057019774434		0.01817586980584557	268.5754056870627	98.31470089313086	-40.26322793294875
2021-05-14_19.00.00	0.04335606	14.35395	0.41941693840308736		0.019700068806653304	266.041945809141	98.15755620610531	-40.01227380454978
2021-05-14_20.00.00	0.04361785	14.41656	0.4232632303227929		0.024833000269243427	261.9234405240435	98.0790595858214	-39.921679428525664
2021-05-14_21.00.00	0.04382081	14.46632	0.42795464744069167		0.024052780686271577	260.0838171802888	98.05362399026913	-39.87315296556642
2021-05-14_22.00.00	0.04389732	14.48439	0.4296081012355282		0.024895991264546627	258.3225770433229	97.92710368152399	-39.83166181319481
2021-05-14_23.00.00	0.04410613	14.53535	0.43470009273940224		0.02372918000418823	256.87788447223465	97.96708356297542	-39.70284603838169
2021-05-15_00.00.00	0.04412163	14.54034	0.4355476112124929		0.021912980524725522	255.40669197558435	97.96664515736349	-39.58169085488723
2021-05-15_01.00.00	0.0442094	14.56165	0.4368483561193047		0.02195389056750531	252.70433229120144	98.09253899929182	-39.48061866525387
2021-05-15_02.00.00	0.04412	14.5404	0.43564782959882725		0.019106369102821073	253.313793360131	98.2227912764457	-39.27567677273021
2021-05-15_03.00.00	0.04420397	14.56207	0.43735273880396086		0.016750881024321655	258.0198749441715	98.43304554347652	-39.06102331197616
2021-05-15_04.00.00	0.04411094	14.54126	0.4360717384150537		0.013340189068716904	261.62427422956677	98.38630148819072	-38.830475914125515
2021-05-15_05.00.00	0.0440505	14.52758	0.43389834564872704		0.012275989469590451	264.24888343010275	98.4132893178776	-38.590677485069875
2021-05-15_06.00.00	0.04412891	14.54822	0.4349801059024142		0.009662999970084064	266.77609051659965	98.49067772602194	-38.30867187032851
2021-05-15_07.00.00	0.04392175	14.49868	0.4300885511712089		0.009258488646902204	267.2090963227631	98.57078555621064	-38.14718946515731
2021-05-15_08.00.00	0.04378509	14.46548	0.42538756095372		0.011194689921321088	267.3108158404049	98.68299017485069	-37.980476001967475
2021-05-15_09.00.00	0.04350715	14.39944	0.41817841864361144		0.013931199329883029	268.1709468512729	98.7598273562988	-37.76530099850416
2021-05-15_10.00.00	0.04348233	14.39098	0.4156594968139528		0.016764770993508243	274.63432335864223	98.74919910425949	-37.57312697206629
2021-05-15_11.00.00	0.04354328	14.40373	0.41563466658689086		0.018865988572112365	279.94971713562603	98.78840658256334	-37.377235173892956
2021-05-15_12.00.00	0.04340744	14.36992	0.41341251084452685		0.017514670775121907	278.0308173291648	98.60353017368267	-37.23271382745804
2021-05-15_13.00.00	0.04329994	14.34462	0.41320100517545694		0.013938379154575641	274.8795965460771	98.5525879685077	-37.23132480867898
2021-05-15_14.00.00	0.04310815	14.29801	0.41112095013013433		0.01254579830675801	272.2535358046747	98.37624939474796	-37.29088667291339
2021-05-15_15.00.00	0.04275905	14.21012	0.4029230861279804		0.018415490471774314	272.3996948042281	98.36590276923245	-37.41302013950465
2021-05-15_16.00.00	0.04289934	14.24442	0.4073413707481975		0.014452589224279774	274.575815096025	98.53871098347027	-37.52562628780018
2021-05-15_17.00.00	0.0429208	14.24809	0.40749244622610464		0.014436279055853053	275.46940598481467	98.51066524435264	-37.555431687322255
2021-05-15_18.00.00	0.04292876	14.2478	0.40532892571873036		0.018792290663236306	275.0601458984666	98.62241059373837	-37.49813763452454
2021-05-15_19.00.00	0.04280097	14.2156	0.4019702635593981		0.019954488886229693	272.650141432187	98.78383018001763	-37.60911597614236
2021-05-15_20.00.00	0.04283407	14.22439	0.401139198851228		0.02053247973195321	276.16834152151256	98.96012401034173	-37.5313483069651
2021-05-15_21.00.00	0.04263444	14.17855	0.3960235737577408		0.02100466987764382	280.3195250856037	98.9939616649884	-37.48164146836811
2021-05-15_22.00.00	0.04242119	14.13487	0.3910623148951446		0.01962676877972896	283.7526797677535	99.13080114135529	-37.432765631309735
2021-05-15_23.00.00	0.04205646	14.04954	0.38262961079366975		0.018210389804648935	288.32049277951467	99.01651598352618	-37.36530184596933
2021-05-16_00.00.00	0.04144099	13.91578	0.37041642983217155		0.014191880814910102	290.93702545779365	99.00120494148513	-37.26626019941551
2021-05-16_01.00.00	0.04090652	13.79722	0.36037963323062194		0.010461698626858527	291.1566547565878	99.08606390677033	-37.31862987773172
2021-05-16_02.00.00	0.04054018	13.71334	0.3534271696532743		0.008436000837646214	288.7501116569897	99.12097654755782	-37.351669946628306
2021-05-16_03.00.00	0.04020421	13.63563	0.3476061267837377		0.007025599066622789	284.7401369659074	99.21072250838944	-37.44270081943745
2021-05-16_04.00.00	0.04013364	13.62115	0.34696323331438655		0.005205076734376402	283.3681330951318	99.30750530780358	-37.69007067445227
