date	tau	Tb	pwv	lwp	iwp	o3
2021-04-07_11.00.00	3.3995e-02	1.2209e+01	2.6684e-01		1.9457e-04	2.7349e+02
2021-04-07_12.00.00	3.3869e-02	1.2177e+01	2.6407e-01		1.9010e-04	2.7330e+02
2021-04-07_13.00.00	3.3888e-02	1.2179e+01	2.6414e-01		1.8693e-04	2.7277e+02
2021-04-07_14.00.00	3.3822e-02	1.2160e+01	2.6281e-01		2.5392e-04	2.7230e+02
2021-04-07_15.00.00	3.3825e-02	1.2157e+01	2.6285e-01		2.9060e-04	2.7182e+02
2021-04-07_16.00.00	3.3861e-02	1.2161e+01	2.6298e-01		4.3624e-04	2.7099e+02
2021-04-07_17.00.00	3.3969e-02	1.2183e+01	2.6467e-01		1.0442e-03	2.7003e+02
2021-04-07_18.00.00	3.4121e-02	1.2218e+01	2.6780e-01		6.1770e-04	2.7021e+02
2021-04-07_19.00.00	3.4284e-02	1.2254e+01	2.7107e-01		4.1400e-04	2.6990e+02
2021-04-07_20.00.00	3.4572e-02	1.2317e+01	2.7677e-01		5.8969e-04	2.6916e+02
2021-04-07_21.00.00	3.4923e-02	1.2394e+01	2.8309e-01		1.4978e-03	2.6887e+02
2021-04-07_22.00.00	3.5262e-02	1.2470e+01	2.8943e-01		2.7217e-03	2.6826e+02
2021-04-07_23.00.00	3.5333e-02	1.2484e+01	2.9069e-01		3.0760e-03	2.6761e+02
2021-04-08_00.00.00	3.5426e-02	1.2505e+01	2.9197e-01		3.7824e-03	2.6752e+02
2021-04-08_01.00.00	3.5506e-02	1.2524e+01	2.9333e-01		3.2845e-03	2.6769e+02
2021-04-08_02.00.00	3.5557e-02	1.2534e+01	2.9306e-01		4.3187e-03	2.7009e+02
2021-04-08_03.00.00	3.5598e-02	1.2544e+01	2.9339e-01		3.4889e-03	2.7387e+02
2021-04-08_04.00.00	3.5618e-02	1.2548e+01	2.9288e-01		3.6109e-03	2.7584e+02
2021-04-08_05.00.00	3.5693e-02	1.2568e+01	2.9400e-01		3.4391e-03	2.7618e+02
2021-04-08_06.00.00	3.5791e-02	1.2590e+01	2.9426e-01		5.2332e-03	2.7627e+02
2021-04-08_07.00.00	3.5944e-02	1.2627e+01	2.9685e-01		5.1050e-03	2.7726e+02
2021-04-08_08.00.00	3.6070e-02	1.2654e+01	2.9831e-01		5.7260e-03	2.7741e+02
2021-04-08_09.00.00	3.6217e-02	1.2688e+01	3.0041e-01		5.9763e-03	2.7593e+02
2021-04-08_10.00.00	3.6321e-02	1.2711e+01	3.0174e-01		6.0551e-03	2.7384e+02
2021-04-08_11.00.00	3.6464e-02	1.2745e+01	3.0368e-01		6.2961e-03	2.7315e+02
2021-04-08_12.00.00	3.6600e-02	1.2777e+01	3.0564e-01		6.4826e-03	2.7316e+02
2021-04-08_13.00.00	3.6675e-02	1.2793e+01	3.0553e-01		8.2142e-03	2.7345e+02
2021-04-08_14.00.00	3.6747e-02	1.2811e+01	3.0638e-01		8.5618e-03	2.7389e+02
2021-04-08_15.00.00	3.6879e-02	1.2842e+01	3.0871e-01		7.5529e-03	2.7548e+02
2021-04-08_16.00.00	3.6900e-02	1.2846e+01	3.0792e-01		8.4698e-03	2.7594e+02
2021-04-08_17.00.00	3.6970e-02	1.2862e+01	3.0765e-01		1.0404e-02	2.7555e+02
2021-04-08_18.00.00	3.7024e-02	1.2876e+01	3.0823e-01		1.0481e-02	2.7525e+02
2021-04-08_19.00.00	3.7059e-02	1.2884e+01	3.0806e-01		1.0668e-02	2.7614e+02
2021-04-08_20.00.00	3.7105e-02	1.2895e+01	3.0845e-01		1.0810e-02	2.7525e+02
2021-04-08_21.00.00	3.7172e-02	1.2912e+01	3.1027e-01		8.8160e-03	2.7357e+02
