date	tau	Tb	pwv	lwp	iwp	o3
2021-04-07_06.00.00	9.5771e-02	2.8580e+01	1.9188e+00		2.2356e-05	2.9322e+02
2021-04-07_07.00.00	7.7120e-02	2.4052e+01	1.4861e+00		4.1676e-04	2.9371e+02
2021-04-07_08.00.00	6.7457e-02	2.1632e+01	1.2678e+00		4.6961e-06	2.9447e+02
2021-04-07_09.00.00	6.7088e-02	2.1504e+01	1.2685e+00		5.1160e-05	2.9501e+02
2021-04-07_10.00.00	7.0796e-02	2.2400e+01	1.3632e+00		1.1001e-05	2.9392e+02
2021-04-07_11.00.00	7.5814e-02	2.3645e+01	1.4825e+00		1.7072e-06	2.9366e+02
2021-04-07_12.00.00	8.1378e-02	2.4968e+01	1.6230e+00		1.0848e-04	2.9257e+02
2021-04-07_13.00.00	8.6178e-02	2.6132e+01	1.7412e+00		2.5604e-06	2.9264e+02
2021-04-07_14.00.00	8.8691e-02	2.6748e+01	1.7987e+00		1.7102e-05	2.9353e+02
2021-04-07_15.00.00	9.1994e-02	2.7586e+01	1.8646e+00		2.7320e-05	2.9525e+02
2021-04-07_16.00.00	9.8294e-02	2.9117e+01	2.0080e+00		1.0040e-05	2.9431e+02
2021-04-07_17.00.00	1.0511e-01	3.0762e+01	2.1612e+00			2.9618e+02
2021-04-07_18.00.00	1.1196e-01	3.2401e+01	2.3145e+00			2.9638e+02
2021-04-07_19.00.00	1.2015e-01	3.4369e+01	2.4905e+00			2.9557e+02
2021-04-07_20.00.00	1.3562e-01	3.7968e+01	2.8363e+00			2.9347e+02
2021-04-07_21.00.00	1.5070e-01	4.1407e+01	3.1795e+00			2.9134e+02
2021-04-07_22.00.00	1.6410e-01	4.4443e+01	3.4789e+00			2.9171e+02
2021-04-07_23.00.00	1.7764e-01	4.7455e+01	3.7805e+00			2.9176e+02
2021-04-08_00.00.00	1.9229e-01	5.0697e+01	4.0940e+00			2.9198e+02
2021-04-08_01.00.00	2.0891e-01	5.4346e+01	4.4364e+00			2.9075e+02
2021-04-08_02.00.00	2.3150e-01	5.9338e+01	4.8606e+00			2.9022e+02
2021-04-08_03.00.00	2.6028e-01	6.5441e+01	5.4139e+00			2.8891e+02
2021-04-08_04.00.00	2.7993e-01	6.9574e+01	5.7742e+00			2.8988e+02
2021-04-08_05.00.00	2.6828e-01	6.7201e+01	5.5247e+00			2.8903e+02
2021-04-08_06.00.00	2.4384e-01	6.2166e+01	5.0057e+00			2.8896e+02
2021-04-08_07.00.00	2.3382e-01	6.0039e+01	4.8012e+00			2.9092e+02
2021-04-08_08.00.00	2.3668e-01	6.0651e+01	4.8342e+00			2.8930e+02
2021-04-08_09.00.00	2.3304e-01	5.9797e+01	4.7948e+00			2.8735e+02
2021-04-08_10.00.00	2.4766e-01	6.2739e+01	5.1381e+00			2.8526e+02
