date	tau	Tb	pwv	lwp	iwp	o3
2021-04-09_06.00.00	4.4448e-02	1.5821e+01	8.3483e-01		4.3000e-06	2.9361e+02
2021-04-09_09.00.00	5.2824e-02	1.7959e+01	1.0547e+00			2.9055e+02
2021-04-09_12.00.00	6.6807e-02	2.1474e+01	1.4137e+00			2.8997e+02
2021-04-09_15.00.00	7.5340e-02	2.3634e+01	1.6180e+00			2.8976e+02
2021-04-09_18.00.00	7.9245e-02	2.4617e+01	1.7195e+00			2.8602e+02
2021-04-09_21.00.00	8.7016e-02	2.6544e+01	1.9148e+00		1.8484e-04	2.8449e+02
2021-04-10_00.00.00	9.0711e-02	2.7565e+01	1.9906e+00		2.2180e-04	2.8435e+02
2021-04-10_03.00.00	9.9357e-02	2.9771e+01	2.1765e+00		2.9780e-06	2.8176e+02
2021-04-10_06.00.00	1.1070e-01	3.2515e+01	2.4328e+00			2.7821e+02
2021-04-10_09.00.00	1.2235e-01	3.5320e+01	2.6913e+00		1.4032e-04	2.7826e+02
2021-04-10_12.00.00	1.2589e-01	3.6151e+01	2.7680e+00		1.8426e-03	2.7873e+02
2021-04-10_15.00.00	1.2939e-01	3.6896e+01	2.8494e+00		1.9666e-05	2.7916e+02
2021-04-10_18.00.00	1.3098e-01	3.7228e+01	2.9117e+00		1.0177e-02	2.7805e+02
2021-04-10_21.00.00	1.3449e-01	3.7966e+01	3.0161e+00		1.5286e-03	2.7843e+02
2021-04-11_00.00.00	1.3145e-01	3.7196e+01	2.9680e+00		2.1720e-04	2.7680e+02
2021-04-11_03.00.00	1.3946e-01	3.8865e+01	3.2007e+00		5.0897e-03	2.7835e+02
2021-04-11_06.00.00	1.5320e-01	4.1932e+01	3.5327e+00		7.7996e-03	2.7847e+02
2021-04-11_09.00.00	1.6260e-01	4.3920e+01	3.7631e+00		5.9868e-03	2.8113e+02
2021-04-11_12.00.00	1.6336e-01	4.3968e+01	3.8173e+00		1.2277e-02	2.7936e+02
2021-04-11_15.00.00	1.7353e-01	4.6075e+01	4.1164e+00		2.3470e-02	2.7853e+02
2021-04-11_18.00.00	2.0485e-01	5.2737e+01	4.9051e+00		1.0239e-02	2.7885e+02
2021-04-11_21.00.00	2.2749e-01	5.7371e+01	5.4413e+00		4.6687e-02	2.7929e+02
2021-04-12_00.00.00	2.6082e-01	6.3996e+01	6.1769e+00		1.8387e-01	2.7617e+02
2021-04-12_03.00.00	2.8279e-01	6.8396e+01	6.7266e+00		5.5132e-02	2.7747e+02
2021-04-12_06.00.00	3.0236e-01	7.2152e+01	7.1067e+00		1.4278e-01	2.7986e+02
2021-04-12_09.00.00	3.4652e-01	8.0294e+01	7.8114e+00		5.4025e-01	2.8069e+02
2021-04-12_12.00.00	3.9434e-01	8.8986e+01	8.7189e+00		4.8660e-01	2.8161e+02
2021-04-12_15.00.00	3.9127e-01	8.8670e+01	8.7569e+00		1.4811e-01	2.8068e+02
2021-04-12_18.00.00	3.8401e-01	8.7318e+01	8.5490e+00		2.4813e-01	2.7955e+02
2021-04-12_21.00.00	3.8767e-01	8.7867e+01	8.6239e+00		2.3287e-01	2.7956e+02
2021-04-13_00.00.00	3.6880e-01	8.4419e+01	8.2719e+00		1.4399e-01	2.8035e+02
2021-04-13_03.00.00	3.3865e-01	7.8672e+01	7.5530e+00		4.4001e-01	2.8138e+02
2021-04-13_06.00.00	3.0086e-01	7.1902e+01	6.8123e+00		5.0064e-02	2.8424e+02
2021-04-13_09.00.00	2.9034e-01	6.9814e+01	6.4627e+00		1.7909e-01	2.8280e+02
2021-04-13_12.00.00	2.6255e-01	6.4355e+01	5.8299e+00		2.1584e-01	2.8413e+02
2021-04-13_15.00.00	2.3083e-01	5.8036e+01	5.1286e+00		1.1357e-01	2.8486e+02
2021-04-13_18.00.00	2.1071e-01	5.3836e+01	4.6723e+00		1.1412e-01	2.8736e+02
2021-04-13_21.00.00	2.0001e-01	5.1599e+01	4.4171e+00	5.8410e-04	1.3706e-01	2.8694e+02
2021-04-14_00.00.00	2.0589e-01	5.3107e+01	4.4627e+00	6.9080e-04	3.9839e-04	2.8211e+02
2021-04-14_03.00.00	1.3354e-01	3.7503e+01	2.8566e+00	2.7970e-05		2.8063e+02
2021-04-14_06.00.00	1.2306e-01	3.5241e+01	2.3421e+00	3.9162e-03	3.4149e-04	2.8492e+02
2021-04-14_09.00.00	9.7137e-02	2.9085e+01	1.9266e+00	1.1065e-03	2.3569e-06	2.8071e+02
2021-04-14_12.00.00	9.4813e-02	2.8397e+01	1.9190e+00	2.6540e-04	1.2131e-04	2.8265e+02
2021-04-14_15.00.00	7.5092e-02	2.3687e+01	1.4690e+00	2.6870e-06	1.4796e-04	2.8065e+02
2021-04-14_18.00.00	6.2137e-02	2.0498e+01	1.1721e+00			2.8043e+02
2021-04-14_21.00.00	7.3416e-02	2.3139e+01	1.4778e+00	9.8640e-05		2.8161e+02
2021-04-15_00.00.00	1.2937e-01	3.6561e+01	2.6793e+00	1.8130e-04		2.8071e+02
2021-04-15_03.00.00	8.8292e-02	2.6974e+01	1.7395e+00	1.1160e-05		2.8036e+02
2021-04-15_06.00.00	9.1671e-02	2.7820e+01	1.7720e+00	1.7430e-05	2.7340e-07	2.8015e+02
2021-04-15_09.00.00	1.3894e-01	3.9066e+01	2.4424e+00	5.2471e-03	1.0636e-03	2.7896e+02
2021-04-15_12.00.00	1.2511e-01	3.5915e+01	2.4181e+00	5.8160e-06	5.1080e-09	2.7891e+02
2021-04-15_15.00.00	1.1448e-01	3.3337e+01	2.2604e+00		1.0770e-03	2.7701e+02
2021-04-15_18.00.00	1.1775e-01	3.4022e+01	2.3953e+00		1.3546e-02	2.7921e+02
2021-04-15_21.00.00	1.1430e-01	3.3085e+01	2.3964e+00		4.5661e-02	2.7838e+02
2021-04-16_00.00.00	1.4992e-01	4.1525e+01	2.9789e+00	3.2970e-03	2.3214e-03	2.7749e+02
2021-04-16_03.00.00	2.0887e-01	5.4488e+01	4.2939e+00	1.9278e-03	1.3211e-03	2.7783e+02
2021-04-16_06.00.00	2.2773e-01	5.8500e+01	4.7228e+00	2.3130e-08	6.3575e-03	2.7855e+02
2021-04-16_09.00.00	2.3783e-01	6.0740e+01	4.8404e+00	7.9860e-04	1.5381e-02	2.8071e+02
2021-04-16_12.00.00	2.3903e-01	6.1268e+01	4.3702e+00	9.1010e-03	4.3270e-06	2.8164e+02
2021-04-16_15.00.00	2.1728e-01	5.6660e+01	4.3317e+00	8.7310e-05		2.8135e+02
2021-04-16_18.00.00	2.3832e-01	6.1110e+01	4.7491e+00	6.6420e-07	1.5940e-06	2.8254e+02
2021-04-16_21.00.00	2.9144e-01	7.1751e+01	5.8357e+00	6.3130e-04	4.2647e-05	2.8312e+02
2021-04-17_00.00.00	4.8374e-01	1.0627e+02	7.1704e+00	5.5915e-02	1.8672e-03	2.7863e+02
2021-04-17_03.00.00	9.8460e-01	1.7060e+02	7.4680e+00	2.6383e-01	5.9410e-02	2.7546e+02
2021-04-17_06.00.00	3.0776e-01	7.5122e+01	5.4396e+00	1.5528e-02	1.1411e-04	2.7635e+02
2021-04-17_09.00.00	2.1106e-01	5.5303e+01	4.2943e+00	1.7307e-04		2.7906e+02
2021-04-17_12.00.00	1.8165e-01	4.8802e+01	3.7696e+00	1.7280e-05		2.7961e+02
2021-04-17_15.00.00	1.5898e-01	4.3644e+01	3.3983e+00			2.7738e+02
2021-04-17_18.00.00	1.5684e-01	4.3195e+01	3.3972e+00			2.7639e+02
2021-04-17_21.00.00	1.6187e-01	4.4357e+01	3.4875e+00	1.5430e-06		2.7793e+02
2021-04-18_00.00.00	1.5283e-01	4.2360e+01	3.3215e+00	2.9530e-05	2.0280e-04	2.7459e+02
2021-04-18_03.00.00	1.7952e-01	4.8468e+01	3.5009e+00	7.6630e-03	2.8381e-03	2.7278e+02
2021-04-18_06.00.00	1.6294e-01	4.4735e+01	3.5292e+00			2.7191e+02
2021-04-18_09.00.00	1.9154e-01	5.0939e+01	4.1834e+00		2.0200e-04	2.7262e+02
2021-04-18_12.00.00	1.8268e-01	4.8951e+01	4.0313e+00		1.3437e-02	2.7078e+02
2021-04-18_15.00.00	1.6264e-01	4.4523e+01	3.6650e+00		2.9773e-04	2.7030e+02
2021-04-18_18.00.00	1.6648e-01	4.5438e+01	3.7344e+00			2.7084e+02
2021-04-18_21.00.00	1.6978e-01	4.6277e+01	3.7101e+00	8.5410e-04		2.6922e+02
2021-04-19_00.00.00	2.4971e-01	6.3741e+01	4.4153e+00	1.9906e-02		2.6868e+02
2021-04-19_03.00.00	2.9087e-01	7.2360e+01	4.2156e+00	4.0202e-02		2.6801e+02
2021-04-19_06.00.00	2.7313e-01	6.8789e+01	3.8973e+00	3.9290e-02		2.7103e+02
