date	tau	Tb	pwv	lwp	iwp	o3
2021-04-05_12.00.00	1.5171e-01	4.1687e+01	3.0692e+00			3.0415e+02
2021-04-05_13.00.00	1.4737e-01	4.0677e+01	2.9878e+00			3.0117e+02
2021-04-05_14.00.00	1.2973e-01	3.6690e+01	2.6148e+00			3.0010e+02
2021-04-05_15.00.00	1.2012e-01	3.4477e+01	2.4161e+00			3.0007e+02
2021-04-05_16.00.00	1.1776e-01	3.3934e+01	2.3673e+00			2.9919e+02
2021-04-05_17.00.00	1.1270e-01	3.2787e+01	2.2531e+00			2.9961e+02
2021-04-05_18.00.00	9.8359e-02	2.9404e+01	1.9445e+00			2.9936e+02
2021-04-05_19.00.00	8.7201e-02	2.6704e+01	1.7005e+00			3.0011e+02
2021-04-05_20.00.00	6.6853e-02	2.1630e+01	1.2738e+00			3.0202e+02
2021-04-05_21.00.00	5.5847e-02	1.8813e+01	1.0363e+00			3.0188e+02
2021-04-05_22.00.00	5.0314e-02	1.7366e+01	9.1850e-01			3.0256e+02
2021-04-05_23.00.00	4.6407e-02	1.6317e+01	8.4175e-01			2.9971e+02
2021-04-06_00.00.00	4.4589e-02	1.5758e+01	8.2343e-01			2.9720e+02
2021-04-06_01.00.00	4.6402e-02	1.6152e+01	8.8693e-01			2.9445e+02
2021-04-06_02.00.00	4.7724e-02	1.6494e+01	9.2261e-01			2.9282e+02
2021-04-06_03.00.00	4.4940e-02	1.5816e+01	8.4851e-01			2.9335e+02
2021-04-06_04.00.00	4.0619e-02	1.4758e+01	7.2956e-01			2.9208e+02
2021-04-06_05.00.00	3.8627e-02	1.4257e+01	6.7638e-01			2.9160e+02
2021-04-06_06.00.00	3.7484e-02	1.3970e+01	6.4679e-01			2.9118e+02
2021-04-06_07.00.00	3.5344e-02	1.3421e+01	5.9244e-01			2.9188e+02
2021-04-06_08.00.00	3.6448e-02	1.3715e+01	6.2249e-01			2.9133e+02
2021-04-06_09.00.00	3.6988e-02	1.3840e+01	6.4067e-01			2.9143e+02
2021-04-06_10.00.00	3.8131e-02	1.4118e+01	6.7426e-01			2.9163e+02
2021-04-06_11.00.00	4.0426e-02	1.4709e+01	7.3647e-01			2.9245e+02
2021-04-06_12.00.00	4.0773e-02	1.4823e+01	7.4205e-01			2.9204e+02
2021-04-06_13.00.00	4.3236e-02	1.5434e+01	8.1057e-01			2.8988e+02
2021-04-06_14.00.00	4.5614e-02	1.6014e+01	8.7842e-01			2.8868e+02
2021-04-06_15.00.00	4.5378e-02	1.5990e+01	8.6576e-01			2.8972e+02
2021-04-06_16.00.00	4.7009e-02	1.6401e+01	9.0862e-01			2.8989e+02
2021-04-06_17.00.00	5.1295e-02	1.7460e+01	1.0261e+00			2.8950e+02
2021-04-06_18.00.00	5.5059e-02	1.8380e+01	1.1297e+00			2.9099e+02
2021-04-06_19.00.00	5.7836e-02	1.9047e+01	1.2110e+00		5.9560e-06	2.9092e+02
2021-04-06_20.00.00	5.6365e-02	1.8728e+01	1.1633e+00			2.9012e+02
2021-04-06_21.00.00	5.8669e-02	1.9313e+01	1.2219e+00		8.0360e-05	2.9083e+02
2021-04-06_22.00.00	6.2029e-02	2.0146e+01	1.3075e+00		2.9700e-05	2.9133e+02
2021-04-06_23.00.00	6.7428e-02	2.1462e+01	1.4471e+00		3.1640e-05	2.9054e+02
2021-04-07_00.00.00	7.0402e-02	2.2197e+01	1.5198e+00			2.9061e+02
2021-04-07_01.00.00	7.2749e-02	2.2771e+01	1.5802e+00			2.9000e+02
2021-04-07_02.00.00	8.0757e-02	2.4693e+01	1.7857e+00		6.5040e-06	2.9006e+02
2021-04-07_03.00.00	8.6886e-02	2.6185e+01	1.9407e+00		2.9140e-06	2.9161e+02
2021-04-07_04.00.00	8.9054e-02	2.6738e+01	1.9867e+00		1.3799e-04	2.9193e+02
2021-04-07_05.00.00	9.0413e-02	2.7089e+01	2.0110e+00		1.6424e-03	2.9263e+02
2021-04-07_06.00.00	8.8582e-02	2.6671e+01	1.9613e+00		1.9315e-03	2.9275e+02
2021-04-07_07.00.00	9.2682e-02	2.7644e+01	2.0625e+00		9.6901e-04	2.9215e+02
2021-04-07_08.00.00	9.3760e-02	2.7916e+01	2.0836e+00		7.6820e-04	2.9419e+02
2021-04-07_09.00.00	9.7513e-02	2.8825e+01	2.1778e+00		2.6160e-04	2.9549e+02
2021-04-07_10.00.00	1.0002e-01	2.9444e+01	2.2360e+00		2.7620e-05	2.9734e+02
2021-04-07_11.00.00	1.0585e-01	3.0817e+01	2.3850e+00		2.6980e-05	2.9850e+02
2021-04-07_12.00.00	1.0571e-01	3.0794e+01	2.3819e+00		3.3124e-04	3.0013e+02
2021-04-07_13.00.00	1.0698e-01	3.1066e+01	2.4059e+00		6.6340e-04	2.9982e+02
2021-04-07_14.00.00	1.1294e-01	3.2462e+01	2.5464e+00		2.2600e-03	2.9916e+02
2021-04-07_15.00.00	1.1853e-01	3.3774e+01	2.6762e+00		7.2249e-05	2.9931e+02
2021-04-07_16.00.00	1.3237e-01	3.6889e+01	3.0168e+00		1.6570e-04	3.0011e+02
2021-04-07_17.00.00	1.5153e-01	4.1205e+01	3.4747e+00		1.0108e-04	3.0101e+02
2021-04-07_18.00.00	1.5701e-01	4.2496e+01	3.5623e+00			3.0072e+02
2021-04-07_19.00.00	1.7774e-01	4.7135e+01	4.0352e+00			3.0003e+02
