date	tau	Tb	pwv	lwp	iwp	o3
2021-04-08_17.00.00	4.2014e-01	9.4315e+01	7.8934e+00	1.0382e-03	1.1552e-01	3.2568e+02
2021-04-08_18.00.00	3.7855e-01	8.7193e+01	7.1674e+00	9.1110e-07	4.1179e-02	3.2921e+02
2021-04-08_19.00.00	3.7066e-01	8.5678e+01	7.0582e+00		4.7468e-02	3.3384e+02
2021-04-08_20.00.00	3.7210e-01	8.5923e+01	7.1040e+00		3.4498e-02	3.2993e+02
2021-04-08_21.00.00	3.7845e-01	8.7142e+01	7.1816e+00	8.5860e-06	1.9933e-02	3.3084e+02
2021-04-08_22.00.00	3.5156e-01	8.2355e+01	6.6818e+00		9.8762e-04	3.3111e+02
2021-04-08_23.00.00	3.3093e-01	7.8675e+01	6.2544e+00		5.2165e-05	3.3254e+02
2021-04-09_00.00.00	3.0189e-01	7.3321e+01	5.6412e+00			3.3789e+02
2021-04-09_01.00.00	2.9318e-01	7.1666e+01	5.4455e+00			3.3724e+02
2021-04-09_02.00.00	2.7116e-01	6.7335e+01	5.0042e+00			3.3314e+02
2021-04-09_03.00.00	2.3971e-01	6.0880e+01	4.4596e+00			3.2822e+02
2021-04-09_04.00.00	2.3131e-01	5.9105e+01	4.3172e+00		7.6616e-05	3.2689e+02
2021-04-09_05.00.00	2.2118e-01	5.6945e+01	4.1375e+00		2.6017e-03	3.2694e+02
2021-04-09_06.00.00	2.2177e-01	5.6996e+01	4.1743e+00		1.1261e-03	3.2563e+02
2021-04-09_07.00.00	2.4302e-01	6.1366e+01	4.5884e+00	3.7637e-05	2.9769e-03	3.2528e+02
2021-04-09_08.00.00	2.4871e-01	6.2565e+01	4.6982e+00		3.0096e-03	3.2501e+02
2021-04-09_09.00.00	2.7265e-01	6.7320e+01	5.1890e+00		2.5711e-03	3.2698e+02
2021-04-09_10.00.00	2.6901e-01	6.6754e+01	5.0764e+00		3.2526e-03	3.2827e+02
2021-04-09_11.00.00	3.3519e-01	7.9556e+01	6.2308e+00	1.4534e-03	8.8076e-03	3.2777e+02
2021-04-09_12.00.00	3.7601e-01	8.7162e+01	6.9034e+00	2.2288e-03	1.2656e-02	3.2615e+02
2021-04-09_13.00.00	4.0648e-01	9.2425e+01	7.5473e+00	2.5493e-03	6.1819e-02	3.2658e+02
2021-04-09_14.00.00	4.3848e-01	9.7736e+01	8.2527e+00	1.8305e-03	9.0216e-02	3.2658e+02
2021-04-09_15.00.00	4.7347e-01	1.0339e+02	8.7978e+00	2.5653e-03	3.0652e-01	3.2609e+02
2021-04-09_16.00.00	4.4079e-01	9.8017e+01	8.3633e+00	1.4447e-03	1.0071e-01	3.2652e+02
2021-04-09_17.00.00	4.5192e-01	9.9755e+01	8.6004e+00	8.3350e-06	1.6593e-01	3.2816e+02
2021-04-09_18.00.00	5.0051e-01	1.0756e+02	9.2532e+00	1.8405e-03	2.8199e-01	3.2843e+02
2021-04-09_19.00.00	5.8174e-01	1.2019e+02	9.6047e+00	2.6237e-02	3.9526e-01	3.3423e+02
2021-04-09_20.00.00	6.0489e-01	1.2348e+02	9.6727e+00	3.0192e-02	7.8930e-01	3.3134e+02
2021-04-09_21.00.00	6.6682e-01	1.3231e+02	9.6688e+00	5.7521e-02	6.7924e-01	3.3161e+02
2021-04-09_22.00.00	5.7398e-01	1.1862e+02	9.1125e+00	3.1060e-02	9.6047e-01	3.3439e+02
2021-04-09_23.00.00	5.2177e-01	1.1064e+02	8.3317e+00	3.2412e-02	4.6290e-01	3.3618e+02
2021-04-10_00.00.00	5.4322e-01	1.1410e+02	8.1715e+00	4.5742e-02	2.8572e-01	3.4084e+02
2021-04-10_01.00.00	6.9413e-01	1.3590e+02	8.1116e+00	1.1058e-01	2.9107e-01	3.4087e+02
2021-04-10_02.00.00	5.1035e-01	1.0937e+02	6.9921e+00	5.9021e-02	1.0608e-01	3.4048e+02
2021-04-10_03.00.00	3.3397e-01	7.8794e+01	5.6202e+00	1.6071e-02	3.7503e-02	3.4186e+02
2021-04-10_04.00.00	2.5105e-01	6.2609e+01	4.6647e+00	7.1420e-06	8.4646e-02	3.4105e+02
2021-04-10_05.00.00	2.1190e-01	5.4643e+01	3.8822e+00	1.2020e-06	5.9085e-02	3.4248e+02
2021-04-10_06.00.00	1.9093e-01	5.0183e+01	3.4632e+00	3.2150e-06	4.1189e-02	3.4632e+02
2021-04-10_07.00.00	1.7072e-01	4.5788e+01	3.0558e+00	4.8170e-06	3.2481e-02	3.4969e+02
2021-04-10_08.00.00	1.4820e-01	4.0790e+01	2.6153e+00	9.6890e-06	1.4904e-02	3.5004e+02
2021-04-10_09.00.00	1.3334e-01	3.7423e+01	2.3204e+00	6.9100e-06	3.2044e-03	3.5128e+02
2021-04-10_10.00.00	1.1964e-01	3.4260e+01	2.0463e+00	1.5943e-04	1.3866e-03	3.5154e+02
2021-04-10_11.00.00	1.1806e-01	3.3890e+01	2.0132e+00	1.1299e-04	1.7991e-04	3.5455e+02
2021-04-10_12.00.00	1.2815e-01	3.6206e+01	2.2211e+00	1.2105e-04	5.0307e-07	3.5656e+02
2021-04-10_13.00.00	1.3994e-01	3.8907e+01	2.4116e+00	1.2793e-03	8.7283e-05	3.5692e+02
2021-04-10_14.00.00	1.6090e-01	4.3674e+01	2.7254e+00	3.1705e-03	4.1266e-04	3.5935e+02
2021-04-10_15.00.00	1.7232e-01	4.6215e+01	2.9473e+00	2.7247e-03	3.9888e-04	3.6234e+02
2021-04-10_16.00.00	2.0755e-01	5.3906e+01	3.1914e+00	1.1827e-02	7.7530e-04	3.6323e+02
2021-04-10_17.00.00	2.3213e-01	5.9075e+01	3.3379e+00	1.9233e-02	7.5773e-04	3.6185e+02
2021-04-10_18.00.00	1.9888e-01	5.1910e+01	3.4291e+00	3.6438e-03	1.9292e-04	3.6273e+02
2021-04-10_19.00.00	2.0043e-01	5.2256e+01	3.4516e+00	3.6141e-03	4.6590e-05	3.6472e+02
2021-04-10_20.00.00	1.9115e-01	5.0270e+01	3.3902e+00	4.4809e-04	1.5754e-05	3.6507e+02
2021-04-10_21.00.00	1.9289e-01	5.0616e+01	3.3906e+00	8.2185e-04	3.2937e-05	3.6546e+02
2021-04-10_22.00.00	1.8050e-01	4.7877e+01	3.2108e+00	9.4849e-05	7.5996e-07	3.7278e+02
2021-04-10_23.00.00	1.7257e-01	4.6063e+01	3.0911e+00	1.0090e-07	2.4326e-05	3.7660e+02
