date	tau	Tb	pwv	lwp	iwp	o3	RHs	Ts
2021-05-19_18.00.00	0.2636262	67.45862	5.215496454961558		5.8222993388578095e-05	314.7903826112848	48.091313150482115	8.558925109247753
2021-05-19_19.00.00	0.2638927	67.51055	5.218772249977563		0.0011431899362790558	315.1806610093792	45.27779303079035	8.493399870236317
2021-05-19_20.00.00	0.2627875	67.31183	5.17524157118497		2.8859999401681274e-05	314.3278993598333	42.913395428530116	8.42719076941313
2021-05-19_21.00.00	0.2510084	64.85969	4.9324049421126634		0.001154260926795704	313.34193092154237	40.31155974553553	8.512195317522469
2021-05-19_22.00.00	0.2245412	59.26437	4.429356508211924		0.0009723119035510216	315.61072651481317	37.0151440759304	8.791999205335287
2021-05-19_23.00.00	0.2103061	56.1419	4.1808358512579655		0.00043164687228886825	317.9236266190264	34.26899392259801	9.080116147864487
2021-05-20_00.00.00	0.2109682	56.17366	4.220112483920184		0.0007619998803362551	317.6449307726664	34.76878813495516	8.875140155340148
2021-05-20_01.00.00	0.2165507	57.21734	4.371250785293325		0.0007128800071798247	316.3630713115974	34.32988282146624	8.786755806042663
2021-05-20_02.00.00	0.213186	56.46169	4.30361085350166		0.0015578699853411912	314.6958463599821	32.40124422166553	9.016065224970873
2021-05-20_03.00.00	0.2082383	55.33619	4.2149549765159895		0.0008989098632841714	312.563793360131	31.67878398349569	9.062385594269188
2021-05-20_04.00.00	0.2053757	54.70765	4.145140156161187		0.00034512011248392016	312.1400550841149	32.696808876260405	8.814326860718666
2021-05-20_05.00.00	0.2001387	53.54551	4.037478684895444		0.00011624501151763543	311.59453625130266	33.20441600326959	8.709167163153836
2021-05-20_06.00.00	0.194816	52.35134	3.9350225865318453		0.00015118999611092829	310.1654384397797	33.870647081564556	8.598410045821424
2021-05-20_07.00.00	0.1946022	52.29761	3.936299997008406		0.0002323499865378287	309.2371966651779	34.925641155686534	8.454011775637412
2021-05-20_08.00.00	0.1930747	52.07048	3.8561911030005684		9.11599904269004e-06	309.4123120440673	37.14828701460816	8.21745296608151
2021-05-20_09.00.00	0.1887467	51.16656	3.7244263619229963			309.10369212446034	39.05606066461511	8.091287550008076
2021-05-20_10.00.00	0.1923227	51.9377	3.814769497711431		1.5397998623866934e-06	308.18635551585527	40.38771189599549	8.226912182301476
2021-05-20_11.00.00	0.2007117	53.8372	3.971505070751189		2.2440000598318723e-05	308.08069078457646	42.9821655675399	8.451624454737157
2021-05-20_12.00.00	0.2123869	56.52415	4.160418224788344		1.2848000119663744e-05	308.16242370105704	46.99862971053058	8.66435970372288
2021-05-20_13.00.00	0.2420736	63.08223	4.650064319262871	0.00035866006521674093	0.00014071998683698805	306.4116048831323	53.32517083715783	8.720157697820355
2021-05-20_14.00.00	0.2500006	64.81279	4.803009543183654	8.390399976067251e-05	0.0009933499865378286	304.9584263808248	54.85442148310564	8.968272929596651
2021-05-20_15.00.00	0.2605017	66.9313	5.042040865168875		0.0027006458850629728	304.6824103022183	56.08389298357835	9.117825093138435
2021-05-20_16.00.00	0.2532633	65.32909	4.924770395189517	0.00014147000927394022	0.0015875498848236455	304.8292020247134	56.1395913152096	9.191726929390597
2021-05-20_17.00.00	0.2332533	61.08206	4.54449098034523		0.0029662120441559217	304.3827229417895	54.65183731488462	9.19779858718681
2021-05-20_18.00.00	0.2048659	54.91861	3.9948275346276962		0.0009278939180901666	303.1109870477892	51.02151084562544	9.226265884112706
2021-05-20_19.00.00	0.18791	51.05804	3.692012445029467		0.0027567840368564332	302.1368542504094	47.622411313448545	9.219107160651333
2021-05-20_20.00.00	0.1861518	50.50555	3.714524187034433		0.010462174290244413	301.5504317403603	46.58639801296515	9.055852250116061
2021-05-20_21.00.00	0.1904205	51.24331	3.8997756304783557		0.015949600622251474	302.1031710585083	44.75496974983887	9.040709733032031
2021-05-20_22.00.00	0.1888392	50.64795	3.9740180093936037		0.011967520268046788	304.1045853803781	40.130150961087864	9.281008182594405
2021-05-20_23.00.00	0.2033587	53.6673	4.352807610614174		0.005752239207826008	302.9101161232693	39.07454673372921	9.333962448249622
2021-05-21_00.00.00	0.1958084	51.9522	4.205690011068896		0.005592419301762048	301.75978859609944	35.027938530213696	9.535256638472049
2021-05-21_01.00.00	0.1920839	51.07361	4.1461423400245305		0.0014039001406049001	300.77981241625724	30.960264645319292	9.81939240185261
2021-05-21_02.00.00	0.1876258	50.09641	4.052089628144913		0.0007297600741915218	300.4909557838321	27.440010423547506	10.019909336891317
2021-05-21_03.00.00	0.1735187	47.0063	3.726592275705268		0.000352279893499267	300.6809587613518	24.50562839798618	10.049283837389396
2021-05-21_04.00.00	0.1553804	42.89458	3.3285188619977863		0.0014214850270739222	299.7053744231055	18.093027605846274	10.495971382211735
2021-05-21_05.00.00	0.1524309	42.23063	3.2657043707182813		0.0016388901187662666	299.95332737829386	15.326294603168659	10.520866392897517
2021-05-21_06.00.00	0.1635467	44.75386	3.5176833098991835		0.005026499536302988	300.90564984368024	13.435610712862033	10.518359051010748
2021-05-21_07.00.00	0.1703163	46.3079	3.6618093158225387		0.005482600891494899	300.7629522108084	12.064823127497142	10.500947179027492
2021-05-21_08.00.00	0.1797656	48.31692	3.8804978011786875		0.009465710353905525	300.9289489355367	12.643331933594588	10.23139360536959
2021-05-21_09.00.00	0.1896921	50.5085	4.1015406707152895		0.008205079725970024	301.1903379484889	12.909815604260753	10.337889996679735
2021-05-21_10.00.00	0.1891078	50.43488	4.075202680467885		0.006362530289885422	303.74545928241776	13.148982511772015	10.599807487196983
2021-05-21_11.00.00	0.178709	48.2439	3.826035839291591		0.0031139797169952434	304.40661753759116	15.43634329524795	10.483095227171077
2021-05-21_12.00.00	0.1697068	46.22747	3.623211774912496		0.0054185867711730035	302.1771252047045	17.48989521323354	10.439059834182046
2021-05-21_13.00.00	0.1695278	46.14172	3.6241571184970236		0.008275106949471983	299.52519726068186	19.938792532743435	10.379498268210114
2021-05-21_14.00.00	0.1648958	45.10618	3.5124420378735755		0.012070999491429084	298.8567813011761	22.555022211243454	10.259066597047308
2021-05-21_15.00.00	0.1605169	44.04223	3.434699494420678		0.014693998863194424	299.04704481167187	20.735180111915092	10.364718320670988
2021-05-21_16.00.00	0.1586893	43.61281	3.4025219134232807		0.009912041164328237	299.65356557987195	18.310921191757046	10.403898822351778
2021-05-21_17.00.00	0.134489	38.04451	2.8403093307805065		0.0184990995303198	301.4437620961739	18.96686762804338	10.084021646935241
2021-05-21_18.00.00	0.1198285	34.56392	2.517713824154127		0.004747799682891076	302.86913800803933	15.979511565428233	10.255018725309924
2021-05-21_19.00.00	0.1284261	36.73633	2.687449666437311		0.000543026894426661	305.37170611880305	15.594569761141209	10.079170404423621
2021-05-21_20.00.00	0.1398184	39.58231	2.8984309091453015		0.0006295599365782152	308.1692347774304	15.227689451109885	9.893453078597304
2021-05-21_21.00.00	0.1405662	39.8009	2.8980198641816495		0.0017376001435964938	308.81282566622	14.410229845636934	10.168949035596484
2021-05-21_22.00.00	0.1401019	39.68911	2.8874161605887454		0.0030355999641008763	309.0428018460622	13.609539968793312	10.408287062025465
2021-05-21_23.00.00	0.1415844	40.04388	2.906976097166961		0.0025040000598318722	308.2266264701504	12.975772533541276	10.404746726601502
2021-05-22_00.00.00	0.141009	39.86817	2.89170580668322		0.0006110000897478087	307.65784576447817	12.18640977146096	10.114549957705151
2021-05-22_01.00.00	0.1473866	41.32284	3.029874053908517		0.0010245998743530678	307.7394298049725	11.370481369418581	9.615366544172048
2021-05-22_02.00.00	0.1621533	44.71207	3.3600472671792265			308.6866904868245	10.783012546438894	9.571688402893301
2021-05-22_03.00.00	0.1708723	46.68537	3.5464863732910517			313.3977966354027	10.465969736792948	9.64235889850886
2021-05-22_04.00.00	0.1782316	48.35991	3.690268345947886			314.5248250707161	10.048109978883973	9.615588718470292
2021-05-22_05.00.00	0.1938524	51.85208	4.012672390582463			313.3466205151109	10.507703110441339	9.426439402904691
2021-05-22_06.00.00	0.2062854	54.60924	4.256221018936787		4.001800939360397e-06	310.79060592526423	11.678367565249005	9.417460088369921
2021-05-22_07.00.00	0.2170839	56.91818	4.459137822718162		0.0001408500014957968	311.68810480869433	13.27012762641898	9.214588618602136
2021-05-22_08.00.00	0.2376972	61.25725	4.873967152302031		0.002321599904269004	310.8762468363853	14.348077478704264	9.16772628041673
2021-05-22_09.00.00	0.2704119	68.01058	5.53191731235229		0.0012808600831663026	309.95541164210215	15.59982863396826	9.296578212781355
2021-05-22_10.00.00	0.29574	73.16647	6.02155443204595		0.00016761698626858526	310.2481762691678	17.9792427396849	9.188597056434219
2021-05-22_11.00.00	0.3165039	77.34002	6.41262153349089			312.341260979604	19.689397357644992	9.236573886992062
2021-05-22_12.00.00	0.3666156	86.86765	7.3842911418912855			313.97696144111956	21.811394103717774	9.405158412027731
2021-05-22_13.00.00	0.4134854	95.49863	8.258754898734555	8.219998803362551e-05	4.1701797947766774e-05	315.33050468959357	26.289573659490273	9.639521740455336
2021-05-22_14.00.00	0.4204742	96.84502	8.378601130822389		7.904798516169563e-06	313.1641729938961	30.923016149680343	9.513377788284288
2021-05-22_15.00.00	0.4111191	95.18544	8.217946570137912			311.8162870329016	33.75104583862684	9.256231727498744
2021-05-22_16.00.00	0.4042166	93.93743	8.131707900798755			311.7344424594313	34.20677013928966	9.286228358459198
2021-05-22_17.00.00	0.4227754	97.02068	8.593493283872318			312.18654161083816	33.6151326034545	9.551118590668523
2021-05-22_18.00.00	0.4250888	97.39871	8.685607443084931			310.6262468363853	32.04694863159631	9.9678858828197
2021-05-22_19.00.00	0.5318625	114.4307	9.719783408621772	0.02434400035899123	0.018340039489035807	311.7326559475957	31.062577370544115	9.447075356287542
2021-05-22_20.00.00	0.4885477	107.4181	9.519756484279174	0.010553899542286175	0.01994542435755527	310.4499032306089	30.151084456980218	9.075035066031376
2021-05-22_21.00.00	0.5111823	110.9473	9.814646842372932	0.01240399976067251	0.06292649654470936	311.66852761649545	29.3947316783873	8.830451229471862
2021-05-22_22.00.00	0.5109935	110.9187	10.119122266431328	0.005171499087563945	0.03714518203847189	312.2436727705821	29.08866210332747	8.653575136063239
2021-05-22_23.00.00	0.5382777	115.2175	10.769599425614024	0.0019561928979567413	0.060046788524246865	311.1027616495459	32.535134137939465	8.485047353752805
2021-05-23_00.00.00	0.546852	116.6643	10.920423609656863	6.423998564035061e-06	0.062173063691028214	311.7527542057466	41.19028550095707	7.932619435227423
2021-05-23_01.00.00	0.5794724	121.5697	11.442800729948843	0.00018888000717982468	0.11963466658689083	312.91919755843384	45.49943329016806	7.966871027904972
2021-05-23_02.00.00	0.5427468	116.0642	10.77502318485057	0.000437770066114219	0.017614000658150598	312.11411344350154	45.68560150807653	7.823652137012857
2021-05-23_03.00.00	0.5821289	122.0746	11.558126664073951		0.029214901127830793	311.807652225696	47.65272194047688	7.774801986726402
2021-05-23_04.00.00	0.6113727	126.2048	11.9515421665121	0.0010857800580369161	0.04825108445268794	311.4672100640167	51.45563284494222	7.089002677811266
2021-05-23_05.00.00	0.62113	127.5242	12.131633110958207	0.0002018100038890717	0.024939288599036706	310.9969108232842	54.916826647483724	6.591780361945496
2021-05-23_06.00.00	0.6006903	124.556	11.789523439136026	0.00031295988272953	0.01099214108355521	311.3863331844573	53.76392388670662	6.26345544294179
2021-05-23_07.00.00	0.6326894	129.2784	12.139366380470877	0.004983758638226583	0.009104379693062494	310.04179693315467	58.4030271974518	6.395879577325729
2021-05-23_08.00.00	1.001005	173.2802	13.408283722739103	0.12498776438208634	0.26807622580548657	309.6723239541462	65.86072875646036	6.085034000617384
2021-05-23_09.00.00	0.7221978	141.3862	13.6475573638077	0.003689699943159721	0.36641397672540166	311.2709542950722	74.54806288974072	5.834322195666289
2021-05-23_10.00.00	0.8494139	157.2023	13.37695575433033	0.06426314057498429	0.07525389655069255	311.1557242816734	79.52255930812525	4.663738222965264
2021-05-23_11.00.00	0.663349	133.6449	12.855254734196905	0.0011565240673706884	0.05206446884255243	311.59193092154237	80.76828914784167	5.073368244384881
2021-05-23_12.00.00	0.6709476	134.6382	12.970819995811768	0.003500484638166751	0.0844453884584318	312.24344945660266	77.71963648948633	5.77777403765657
2021-05-23_13.00.00	0.7449889	144.2518	13.324312681365361	0.024643099889311033	0.22886498937984265	310.26872115527766	78.83001594680957	5.569861082538466
2021-05-23_14.00.00	0.7242948	141.6427	12.840344631585245	0.030507912765129982	0.07867110419720585	311.7754205746613	70.96499046228038	6.21999451761468
2021-05-23_15.00.00	0.6958566	137.731	13.117087982768421	0.005931698926017889	0.4168555359439973	313.66212594908444	79.58193948386354	5.126335961509767
2021-05-23_16.00.00	0.7553095	145.3951	13.390217488856312	0.02524790139707422	0.542044754240584	313.28338543992857	68.33589021957276	6.5252052115740184
2021-05-23_17.00.00	0.833879	154.8033	13.58669937475693	0.05109722679271248	0.5643330242019924	315.8816808098854	78.78864728144147	5.163385362218833
2021-05-23_18.00.00	1.124368	184.51	13.555350465192808	0.16687001525712747	0.7739282615849463	316.40605925264254	93.05143428757168	3.5414081351916593
